"id","avg.match","optk2","phi.value","Age","Gender","Educ.lvl"
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
0,0.75,"k=2",0.58,3,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
4,0.916666666666667,"k=2",0.77,6,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
6,0.666666666666667,"k=2",0.49,4,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
7,0.75,"k=2+",0.43,3,"h",3
9,0.916666666666667,"k=2",0.77,5,"h",3
9,0.916666666666667,"k=2",0.77,5,"h",3
9,0.916666666666667,"k=2",0.77,5,"h",3
9,0.916666666666667,"k=2",0.77,5,"h",3
9,0.916666666666667,"k=2",0.77,5,"h",3
9,0.916666666666667,"k=2",0.77,5,"h",3
9,0.916666666666667,"k=2",0.77,5,"h",3
9,0.916666666666667,"k=2",0.77,5,"h",3
9,0.916666666666667,"k=2",0.77,5,"h",3
9,0.916666666666667,"k=2",0.77,5,"h",3
