"id","avg.match","optk2","phi.value","AGE","GENDER","EDUC","WORK","Educ.lvl"
2,1,"k=2",1,"30"," F"," S"," PRI",3
3,0.909090909090909,"k=2",0.81,"50"," F","2"," CHO",2
5,0.636363636363636,"k=2",0.43,"40"," F"," S"," PUB",3
7,0.909090909090909,"k=2",0.77,"70"," M"," S"," RET",3
8,0.818181818181818,"k=2",0.69,"50"," F","2"," PUB",2
10,0.909090909090909,"k=2+",0.83,"18"," M"," S"," ETU",3
11,0.454545454545455,"k=2",0.29,"60",NA,NA," RET",NA
13,1,"k=2+",1,"40"," F"," S"," PRI",3
14,0.909090909090909,"k=2+",0.83,"70"," M",NA," RET",NA
15,0.454545454545455,"k=2+",0.29,"18"," F"," S"," ETU",3
17,1,"k=2",1,"70"," F","2"," RET",2
19,1,"k=2",1,"30"," M"," S"," PRI",3
20,0.636363636363636,"k=2+",0.46,"50"," F"," S"," PUB",3
22,0.909090909090909,"k=2",0.81,"60"," F"," S"," RET",3
23,1,"k=2",1,"60"," F"," S"," RET",3
24,1,"k=2",1,"60"," F"," S"," PUB",3
25,0.909090909090909,"k=2",0.77,"40"," F"," S"," PRI",3
26,1,"k=2",1,"40"," F"," S"," PUB",3
27,0.636363636363636,"k=2",0.43,"18"," M"," S"," ETU",3
28,0.909090909090909,"k=2+",0.83,"30"," F"," S"," PUB",3
31,0.909090909090909,"k=2",0.67,"50"," F","2"," PUB",2
32,0.909090909090909,"k=2",0.81,"18"," M"," S"," ETU",3
33,0.818181818181818,"k=2+",0.67,"18"," F"," S"," ETU",3
35,0.818181818181818,"k=2",0.62,"50"," F"," S"," PUB",3
37,0.818181818181818,"k=2",0.62,"18"," F"," S"," PRI",3
38,1,"k=2",1,"30"," F"," S"," PRI",3
40,1,"k=2",1,"30"," M","2"," PRI",2
41,1,"k=2",1,"30"," F"," S"," PRI",3
42,0.636363636363636,"k=2",0.43,"40"," M"," S"," PUB",3
43,0.818181818181818,"k=2+",0.67,"18"," M"," S"," ETU",3
44,0.545454545454545,"k=2+",0.29,"18"," F"," S"," ETU",3
45,1,"k=2+",1,"40"," F","2"," PRI",2
47,0.363636363636364,"k=2+",0.19,"18"," M","2"," ETU",2
48,0.909090909090909,"k=2",0.81,"40"," M"," S"," ART",3
49,1,"k=2",1,"40"," M","2"," AUT",2
51,0.636363636363636,"k=2+",0.35,"60"," M"," S"," ART",3
52,1,"k=2",1,"30"," F"," S"," PUB",3
54,0.363636363636364,"k=2+",0.22,"40"," F","2"," PUB",2
55,0.818181818181818,"k=2",0.62,"60"," F"," S"," RET",3
56,0.636363636363636,"k=2",0.46,"18"," F"," S"," ETU",3
57,0.727272727272727,"k=2",0.42,"40"," F"," S"," ART",3
59,0.727272727272727,"k=2+",NA,"40"," F"," S"," PRI",3
60,1,"k=2",1,"60"," F"," S"," RET",3
61,0.909090909090909,"k=2",0.77,"50"," F","2"," PRI",2
62,1,"k=2",1,"50"," F"," S"," ART",3
64,0.818181818181818,"k=2",0.62,"18"," F"," S"," ETU",3
