"id","ext.left","ext.right"
1,1,0
2,0,0
3,0,0
4,1,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,1,0
11,NA,NA
12,1,NA
13,NA,NA
14,0,0
15,0,0
16,1,0
17,NA,NA
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,NA,NA
26,0,0
27,0,0
28,1,0
29,0,0
30,0,0
31,1,0
32,0,0
33,0,0
34,0,1
35,0,0
36,0,0
37,NA,1
38,0,0
39,0,0
40,1,0
41,0,0
42,1,0
43,1,0
44,0,0
45,1,0
46,0,0
47,0,1
48,1,1
49,0,0
50,0,0
51,0,0
52,1,0
53,0,0
54,0,0
55,1,0
56,0,0
57,NA,NA
58,0,0
59,0,0
60,0,0
61,NA,1
62,0,0
63,0,0
64,NA,NA
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,NA,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,NA,NA
77,0,0
78,0,0
79,NA,NA
80,0,0
81,1,0
82,0,0
83,NA,NA
84,NA,NA
85,0,0
86,0,0
87,0,0
88,1,0
89,1,0
90,NA,NA
91,0,0
92,1,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,NA,NA
106,0,0
107,0,0
108,NA,NA
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,1,0
115,0,0
116,NA,NA
117,0,0
118,0,0
119,0,0
120,0,0
121,1,0
122,0,0
123,1,0
124,0,0
125,0,1
126,0,0
127,0,1
128,0,0
129,0,0
130,NA,NA
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,NA,NA
138,0,1
139,0,0
140,1,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,NA,NA
147,0,0
148,1,0
149,0,0
150,0,0
151,0,0
152,0,0
153,NA,NA
154,0,0
155,0,0
156,0,0
157,1,0
158,0,0
159,0,0
160,0,0
161,1,0
162,0,0
163,0,0
164,NA,NA
165,NA,NA
166,NA,NA
167,0,0
168,0,0
169,0,0
170,0,0
171,NA,NA
172,0,0
173,0,1
174,1,0
175,0,0
176,0,0
177,1,0
178,0,0
179,0,0
180,0,0
181,1,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,NA,0
190,0,0
191,NA,NA
192,0,0
193,NA,NA
194,0,0
195,NA,NA
196,1,0
197,0,0
198,0,0
199,0,0
200,1,0
201,1,0
202,NA,NA
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,NA,NA
209,NA,NA
210,NA,NA
211,0,0
212,NA,NA
213,NA,NA
214,0,0
215,0,0
216,0,0
217,1,0
218,1,0
219,0,NA
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,1
230,0,0
231,1,0
232,NA,NA
233,NA,NA
234,1,0
235,1,0
236,NA,NA
237,1,0
238,1,1
239,NA,NA
240,0,0
241,1,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,1,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,1,0
261,0,0
262,0,0
263,0,0
264,1,0
265,0,0
266,NA,1
267,0,1
268,0,0
269,0,0
270,NA,NA
271,1,NA
272,0,0
273,1,0
274,0,0
275,0,NA
276,NA,NA
277,NA,NA
278,0,0
279,NA,NA
280,0,0
281,1,0
282,0,0
283,0,0
284,1,0
285,0,0
286,0,0
287,NA,NA
288,NA,1
289,0,0
290,0,0
291,0,0
292,1,1
293,0,0
294,1,0
295,0,0
296,0,0
297,0,0
298,1,0
299,1,0
300,0,0
301,0,0
302,1,NA
303,1,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,NA,NA
310,1,0
311,NA,NA
312,0,0
313,0,0
314,1,0
