"id","Gender","Age","Educ","WDP.Theil","WDP.Gini","WDP.Atkinson"
1,"female","40to49","HigherEduc",0,0,0
2,"male","40to49","HigherEduc",1,1,0
3,"male","20to29","HigherEduc",1,1,1
4,"female","20to29","Matura",0,0,0
5,"female","50to59","HigherEduc",1,1,1
6,"male","20to29","HigherEduc",1,1,1
7,NA,"20to29","Matura",1,1,1
8,"male","40to49","Matura",0,0,0
9,"female","20to29","HigherEduc",1,1,1
10,"female","30to39","HigherEduc",1,1,1
11,"male","20to29","HigherEduc",NA,NA,NA
12,"female","20to29","Matura",0,NA,0
13,"female","70+","Matura",NA,NA,NA
14,"male","40to49","Matura",0,0,0
15,"female","30to39","HigherEduc",1,1,1
16,"female","40to49","HigherEduc",1,1,1
17,"male","50to59","HigherEduc",NA,NA,NA
18,"female","40to49","Matura",1,1,1
19,"female","20to29","Matura",0,0,0
20,"female","20to29","HigherEduc",0,0,0
21,"male","50to59","Pflichtschule+Lehre",0,0,0
22,"female","70+","Mittlere Schule",0,0,0
23,"male","70+","Matura",1,1,1
24,"female","50to59","HigherEduc",0,0,0
25,"female","30to39","HigherEduc",NA,NA,NA
26,"female","30to39","HigherEduc",0,0,0
27,"female","60to69","HigherEduc",1,1,1
28,"male","30to39","HigherEduc",1,1,1
29,"male","70+","HigherEduc",0,0,0
30,"male","30to39","HigherEduc",1,1,1
31,"female","70+","Matura",0,0,0
32,"male","30to39","HigherEduc",1,1,1
33,"male","40to49","HigherEduc",1,1,1
34,"female","30to39","Mittlere Schule",0,0,0
35,"male","60to69","HigherEduc",1,1,1
36,"male","30to39","HigherEduc",1,0,1
37,"male","50to59","Pflichtschule+Lehre",NA,NA,NA
38,"female","20to29","Matura",0,0,0
39,"female","50to59","HigherEduc",1,1,1
40,"female","20to29","HigherEduc",0,1,0
41,"female","20to29","HigherEduc",1,1,1
42,"female","60to69","Matura",0,0,0
43,"female","30to39","HigherEduc",1,1,1
44,"female","20to29","HigherEduc",1,1,1
45,"female","30to39","HigherEduc",1,1,1
46,"female","20to29","Matura",1,1,1
47,"female","30to39","HigherEduc",0,0,0
48,"female","30to39","HigherEduc",0,1,0
49,"female","30to39","HigherEduc",1,1,0
50,"female","40to49","HigherEduc",0,0,0
51,"female","40to49","HigherEduc",0,0,0
52,"male","50to59","HigherEduc",0,0,0
53,"male","20to29","HigherEduc",0,0,0
54,"male","40to49","HigherEduc",1,1,1
55,"female","60to69","HigherEduc",1,1,1
56,"male","30to39","HigherEduc",1,1,1
57,NA,NA,NA,NA,NA,NA
58,"male","60to69","Matura",0,1,0
59,"female","30to39","HigherEduc",0,0,0
60,"female","20to29","Matura",1,1,1
61,"female","70+","Mittlere Schule",1,1,1
62,"male","70+","HigherEduc",1,1,1
63,"female","20to29","AHS/BHS",1,1,1
64,"female","40to49","HigherEduc",NA,NA,NA
65,"male","40to49","Matura",1,1,1
66,"male","20to29","HigherEduc",1,1,1
67,"female","40to49","HigherEduc",0,0,0
68,"female","16to19","Pflichtschule",0,0,0
69,"male","20to29","HigherEduc",0,0,0
70,"female","70+","Matura",NA,NA,NA
71,"male","20to29","Matura",1,1,1
72,"female","20to29","HigherEduc",1,1,1
73,"male","20to29","HigherEduc",1,1,1
74,"male","30to39","Pflichtschule+Lehre",0,NA,0
75,"male","30to39","HigherEduc",1,1,1
76,NA,NA,NA,NA,NA,NA
77,"male","30to39","Matura",1,1,1
78,"male","40to49","HigherEduc",0,NA,0
79,NA,NA,NA,NA,NA,NA
80,"male","70+","HigherEduc",0,0,0
81,"female","60to69","HigherEduc",0,0,0
82,"male","30to39","Mittlere Schule",0,1,0
83,"male","70+","Mittlere Schule",NA,NA,NA
84,NA,NA,NA,NA,NA,NA
85,"female","20to29","Matura",1,1,1
86,"female","70+","Pflichtschule",1,1,1
87,"female","70+","Pflichtschule",0,0,0
88,"female","30to39","HigherEduc",0,1,0
89,"male","20to29","HigherEduc",1,1,1
90,"female","70+","Pflichtschule+Lehre",NA,NA,NA
91,"male","30to39","HigherEduc",0,0,0
92,"female","30to39","HigherEduc",0,0,0
93,"female","70+","HigherEduc",0,0,0
94,"male","30to39","HigherEduc",0,0,0
95,"female","20to29","Matura",0,0,0
96,"female","30to39","Matura",0,0,0
97,"female","60to69","HigherEduc",0,0,0
98,"male","20to29","Matura",1,1,1
99,"male","20to29","Matura",1,1,1
100,"female","16to19","AHS/BHS",1,1,1
101,NA,NA,NA,1,1,1
102,"female","30to39","HigherEduc",1,1,1
103,"male","40to49","HigherEduc",0,1,0
104,"female","40to49","HigherEduc",1,1,1
105,"male","20to29","Matura",NA,NA,NA
106,"male","70+","HigherEduc",0,0,0
107,"female","30to39","HigherEduc",0,0,0
108,"male","30to39","HigherEduc",NA,NA,NA
109,"male","70+","HigherEduc",1,1,1
110,"male","60to69","Matura",1,1,1
111,"female","30to39","HigherEduc",1,1,1
112,"female","50to59",NA,0,0,0
113,"diverse","20to29","HigherEduc",0,0,0
114,"male","30to39","Matura",1,1,1
115,"male","30to39","HigherEduc",0,0,0
116,"female","20to29","HigherEduc",NA,NA,NA
117,"male","70+","Matura",0,0,0
118,"male","20to29","HigherEduc",1,1,1
119,"male","20to29","HigherEduc",0,0,0
120,"female","70+","HigherEduc",0,0,0
121,"female","40to49","HigherEduc",1,1,1
122,"male","20to29","Matura",1,1,1
123,"female","30to39","HigherEduc",1,1,1
124,"male","40to49","HigherEduc",0,NA,0
125,"female","70+","HigherEduc",1,1,1
126,"male","20to29","Matura",1,1,1
127,"male","70+","HigherEduc",1,1,1
128,"female","50to59","HigherEduc",0,0,0
129,"female","30to39","HigherEduc",1,1,1
130,"male",NA,"AHS/BHS",NA,NA,NA
131,"male","50to59","HigherEduc",0,0,0
132,"male","40to49","HigherEduc",1,1,1
133,"female","30to39","HigherEduc",1,1,1
134,"male","30to39","HigherEduc",1,1,1
135,"female","30to39","HigherEduc",0,0,0
136,"female","30to39","HigherEduc",1,1,1
137,"diverse","50to59","HigherEduc",NA,NA,NA
138,"male","16to19","Matura",0,1,0
139,"female","50to59","HigherEduc",0,0,0
