"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
0,"M",3,3,1,0,0,0,0,0,1
4,"M",6,3,1,1,1,1,1,0,0
6,"M",4,3,0,0,0,1,0,0,0
7,"M",3,3,1,0,1,0,0,0,0
9,"M",5,3,1,1,1,1,1,0,0
10,"F",4,3,0,0,0,1,0,0,0
14,"M",3,3,0,0,0,1,1,0,0
15,"M",3,3,0,0,0,1,1,0,1
17,"M",2,3,1,1,1,0,0,0,1
22,"M",2,3,1,1,1,0,0,0,1
23,"M",3,3,1,1,1,1,1,0,1
24,"F",4,3,1,1,1,0,0,1,0
25,"M",2,3,0,0,0,0,0,0,0
26,"M",3,3,0,0,0,0,0,0,0
28,"F",4,3,1,1,1,1,0,0,1
29,"M",5,3,0,0,0,0,0,0,0
31,"M",3,3,1,1,1,0,0,0,1
34,"F",4,3,1,1,1,0,0,0,1
35,"M",4,2,0,0,0,0,0,0,0
36,"M",2,3,1,1,1,1,1,0,1
38,"M",3,3,1,1,1,1,0,0,0
39,"M",4,3,1,1,1,1,0,0,1
40,"M",5,3,1,1,1,0,0,0,0
41,"F",4,3,0,0,0,0,0,0,1
43,"M",3,3,1,1,1,1,1,0,1
44,"M",3,3,1,1,1,0,0,0,0
45,"M",3,3,1,1,1,1,1,0,1
46,"M",6,3,1,0,1,0,0,0,0
47,"F",3,3,0,NA,0,0,0,0,1
49,NA,NA,NA,1,1,1,1,1,0,0
50,"M",4,3,0,0,0,0,0,0,1
51,"M",5,NA,1,0,1,0,0,0,0
52,"M",5,3,0,0,0,0,0,0,0
53,"M",4,3,0,0,0,1,1,0,0
55,"M",2,3,1,1,1,0,0,0,1
57,"M",2,3,1,1,1,1,0,0,1
59,"F",4,3,0,0,0,0,0,0,0
60,"M",3,3,1,0,1,1,0,0,0
61,"M",4,3,0,NA,0,1,1,0,0
62,"F",2,3,1,1,1,0,0,0,1
63,"F",2,3,1,1,1,0,0,0,0
64,"F",3,3,1,0,0,0,0,0,1
65,"M",2,3,1,1,1,0,0,0,1
67,"M",3,3,1,1,1,1,0,0,1
68,"F",5,3,1,0,1,0,0,0,0
69,"M",2,3,1,1,1,0,0,0,0
70,"M",4,3,1,0,0,1,0,0,1
71,"M",3,3,0,0,0,0,0,0,1
72,"M",3,3,1,0,1,1,0,0,1
73,"M",3,3,1,0,1,0,0,0,1
75,"M",6,3,1,1,1,1,1,0,1
76,"M",2,3,1,1,1,1,1,0,0
77,"M",3,3,1,1,1,0,0,0,1
78,"M",3,3,1,0,1,0,0,0,1
79,"F",5,2,1,1,1,0,0,0,0
80,"M",4,3,0,0,0,1,0,0,0
86,"F",4,3,0,0,0,1,1,0,0
87,"M",2,3,1,1,1,0,0,0,1
88,NA,NA,NA,1,1,1,0,0,0,1
91,"M",4,3,1,1,1,0,0,0,1
92,"M",3,3,0,0,0,1,0,0,1
94,"M",5,3,1,1,1,0,0,0,0
95,"F",3,3,1,0,1,0,0,1,0
96,"M",3,3,1,0,1,0,0,0,0
97,"F",3,3,1,0,1,0,0,0,1
98,"M",2,3,1,0,1,0,0,0,1
99,"M",4,3,1,1,1,1,1,0,1
102,"M",3,3,1,1,1,1,1,0,1
104,"M",4,3,1,0,1,0,0,0,1
105,"M",6,NA,1,1,1,1,0,0,1
107,"M",6,2,1,1,1,0,0,0,1
