"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
1,"F",4,6,0,0,0,1,1,0,1
2,"M",4,6,1,1,0,1,0,0,0
3,"M",2,6,1,1,1,0,0,0,0
4,"F",2,5,0,0,0,0,0,0,1
5,"F",5,6,1,1,1,1,1,0,0
6,"M",2,6,1,1,1,1,0,0,0
7,NA,2,5,1,1,1,1,1,0,0
8,"M",4,5,0,0,0,0,0,0,0
9,"F",2,6,1,1,1,1,0,0,0
10,"F",3,6,1,1,1,1,1,0,1
11,"M",2,6,NA,NA,NA,0,0,NA,NA
12,"F",2,5,0,NA,0,0,0,NA,1
13,"F",7,5,NA,NA,NA,0,0,NA,NA
14,"M",4,5,0,0,0,1,0,0,0
15,"F",3,6,1,1,1,1,0,0,0
16,"F",4,6,1,1,1,0,0,0,1
17,"M",5,6,NA,NA,NA,0,0,NA,NA
18,"F",4,5,1,1,1,1,1,0,0
19,"F",2,5,0,0,0,1,0,0,0
20,"F",2,6,0,0,0,0,0,0,0
21,"M",5,2,0,0,0,1,1,0,0
22,"F",7,3,0,0,0,1,1,0,0
23,"M",7,5,1,1,1,0,0,0,0
24,"F",5,6,0,0,0,1,1,0,0
25,"F",3,6,NA,NA,NA,0,0,NA,NA
26,"F",3,6,0,0,0,1,0,0,0
27,"F",6,6,1,1,1,0,0,0,0
28,"M",3,6,1,1,1,1,0,0,1
29,"M",7,6,0,0,0,1,1,0,0
30,"M",3,6,1,1,1,0,0,0,0
31,"F",7,5,0,0,0,0,0,0,1
32,"M",3,6,1,1,1,1,1,0,0
33,"M",4,6,1,1,1,1,0,0,0
34,"F",3,3,0,0,0,1,1,1,0
35,"M",6,6,1,1,1,1,0,0,0
36,"M",3,6,1,0,1,1,0,0,0
37,"M",5,2,NA,NA,NA,0,0,1,NA
38,"F",2,5,0,0,0,1,1,0,0
39,"F",5,6,1,1,1,1,0,0,0
40,"F",2,6,0,1,0,1,1,0,1
41,"F",2,6,1,1,1,0,0,0,0
42,"F",6,5,0,0,0,1,0,0,1
43,"F",3,6,1,1,1,0,0,0,1
44,"F",2,6,1,1,1,1,0,0,0
45,"F",3,6,1,1,1,1,1,0,1
46,"F",2,5,1,1,1,1,0,0,0
47,"F",3,6,0,0,0,1,0,1,0
48,"F",3,6,0,1,0,0,0,1,1
49,"F",3,6,1,1,0,1,0,0,0
50,"F",4,6,0,0,0,1,0,0,0
51,"F",4,6,0,0,0,1,0,0,0
52,"M",5,6,0,0,0,0,0,0,1
53,"M",2,6,0,0,0,1,0,0,0
54,"M",4,6,1,1,1,1,0,0,0
55,"F",6,6,1,1,1,1,0,0,1
56,"M",3,6,1,1,1,0,0,0,0
57,NA,NA,4,NA,NA,NA,0,0,NA,NA
58,"M",6,5,0,1,0,1,0,0,0
59,"F",3,6,0,0,0,0,0,0,0
60,"F",2,5,1,1,1,0,0,0,0
61,"F",7,3,1,1,1,0,0,1,NA
62,"M",7,6,1,1,1,1,1,0,0
63,"F",2,1,1,1,1,0,0,0,0
64,"F",4,6,NA,NA,NA,0,0,NA,NA
65,"M",4,5,1,1,1,1,1,0,0
66,"M",2,6,1,1,1,1,0,0,0
67,"F",4,6,0,0,0,1,1,0,0
68,"F",1,NA,0,0,0,1,0,0,0
69,"M",2,6,0,0,0,1,1,0,0
70,"F",7,5,NA,NA,NA,0,0,0,NA
71,"M",2,5,1,1,1,1,0,0,0
72,"F",2,6,1,1,1,1,1,0,0
73,"M",2,6,1,1,1,1,0,0,0
74,"M",3,2,0,NA,0,0,0,0,0
75,"M",3,6,1,1,1,1,1,0,0
76,NA,NA,4,NA,NA,NA,0,0,NA,NA
77,"M",3,5,1,1,1,0,0,0,0
78,"M",4,6,0,NA,0,1,0,0,0
79,NA,NA,4,NA,NA,NA,0,0,NA,NA
80,"M",7,6,0,0,0,1,1,0,0
81,"F",6,6,0,0,0,1,1,0,1
82,"M",3,3,0,1,0,1,1,0,0
83,"M",7,3,NA,NA,NA,0,0,NA,NA
84,NA,NA,4,NA,NA,NA,0,0,NA,NA
85,"F",2,5,1,1,1,1,1,0,0
86,"F",7,NA,1,1,1,1,0,0,0
87,"F",7,NA,0,0,0,0,0,0,0
88,"F",3,6,0,1,0,1,0,0,1
89,"M",2,6,1,1,1,1,1,0,1
90,"F",7,2,NA,NA,NA,0,0,NA,NA
91,"M",3,6,0,0,0,1,0,0,0
92,"F",3,6,0,0,0,1,1,0,1
93,"F",7,6,0,0,0,1,0,0,0
94,"M",3,6,0,0,0,1,0,0,0
95,"F",2,5,0,0,0,1,1,0,0
96,"F",3,5,0,0,0,1,0,0,0
97,"F",6,6,0,0,0,1,1,0,0
98,"M",2,5,1,1,1,0,0,0,0
99,"M",2,5,1,1,1,0,0,0,0
100,"F",1,1,1,1,1,0,0,0,0
101,NA,NA,4,1,1,1,0,0,0,0
102,"F",3,6,1,1,1,0,0,0,0
103,"M",4,6,0,1,0,1,0,0,0
104,"F",4,6,1,1,1,1,1,0,0
105,"M",2,5,NA,NA,NA,0,0,NA,NA
106,"M",7,6,0,0,0,1,0,0,0
107,"F",3,6,0,0,0,1,0,0,0
108,"M",3,6,NA,NA,NA,0,0,NA,NA
109,"M",7,6,1,1,1,1,0,0,0
110,"M",6,5,1,1,1,1,1,0,0
111,"F",3,6,1,1,1,1,1,0,0
112,"F",5,4,0,0,0,1,0,0,0
113,NA,2,6,0,0,0,1,1,0,0
114,"M",3,5,1,1,1,1,1,0,1
115,"M",3,6,0,0,0,1,0,0,0
116,"F",2,6,NA,NA,NA,0,0,NA,NA
117,"M",7,5,0,0,0,1,0,0,0
118,"M",2,6,1,1,1,1,0,0,0
119,"M",2,6,0,0,0,1,1,0,0
120,"F",7,6,0,0,0,1,0,0,0
121,"F",4,6,1,1,1,1,1,0,1
122,"M",2,5,1,1,1,1,0,0,0
123,"F",3,6,1,1,1,1,1,0,1
124,"M",4,6,0,NA,0,0,0,0,0
125,"F",7,6,1,1,1,1,0,1,0
126,"M",2,5,1,1,1,1,1,0,0
127,"M",7,6,1,1,1,1,1,1,0
128,"F",5,6,0,0,0,0,0,0,0
129,"F",3,6,1,1,1,0,0,0,0
130,"M",NA,1,NA,NA,NA,0,0,NA,NA
131,"M",5,6,0,0,0,1,0,0,0
132,"M",4,6,1,1,1,1,1,0,0
133,"F",3,6,1,1,1,1,1,0,0
134,"M",3,6,1,1,1,1,0,0,0
135,"F",3,6,0,0,0,1,0,0,0
136,"F",3,6,1,1,1,1,1,0,0
137,NA,5,6,NA,NA,NA,0,0,NA,NA
138,"M",1,5,0,1,0,1,0,1,0
139,"F",5,6,0,0,0,1,0,0,0
140,"F",6,6,1,1,1,1,1,0,1
141,"F",5,5,0,0,0,0,0,0,0
142,"F",2,5,1,1,1,1,1,0,0
143,"M",2,2,1,1,1,1,0,0,0
144,"M",3,6,0,0,0,1,0,0,0
145,"F",4,3,1,1,1,0,0,0,0
146,"M",1,4,NA,NA,NA,0,0,NA,NA
147,"M",7,6,NA,NA,NA,1,0,0,0
148,"F",4,6,0,1,0,1,1,0,1
