"id","Gender","Age","Educ.lvl","WDP.Theil","WDP.Gini","WDP.Atkinson","k2all","k2strong","ext.right","ext.left"
1," F",5,3,0,NA,0,0,0,0,0
2," F",2,3,1,1,1,1,1,0,0
3," F",4,2,1,1,1,1,1,0,0
4," F",5,3,NA,NA,NA,0,0,0,1
5," F",3,3,0,0,0,0,0,0,1
6," F",2,3,1,1,1,0,0,0,0
7," M",6,3,1,1,1,1,1,0,0
8," F",4,2,1,1,1,1,1,0,0
9," F",3,3,0,0,0,0,0,0,0
10," M",1,3,1,1,1,0,0,0,1
11,NA,5,NA,0,0,0,0,0,0,0
12," F",3,3,1,1,1,0,0,0,1
13," F",3,3,1,1,1,0,0,0,0
14," M",6,NA,1,0,1,0,0,0,1
15," F",1,3,0,0,0,0,0,0,0
16," F",1,2,0,NA,0,0,0,0,1
17," F",6,2,1,1,1,1,1,0,0
18," F",5,3,1,1,1,0,0,0,1
19," M",2,3,1,1,1,1,1,0,1
20," F",4,3,1,1,1,0,0,0,1
21," F",5,3,0,NA,0,0,0,0,0
22," F",5,3,1,1,1,1,1,0,1
23," F",5,3,1,1,1,1,0,0,0
24," F",5,3,1,1,1,1,1,0,1
25," F",3,3,1,1,1,1,1,0,0
26," F",3,3,1,1,1,1,1,0,0
27," M",1,3,1,0,0,1,1,0,1
28," F",2,3,1,1,1,0,0,0,1
29," F",3,3,0,0,0,0,0,0,0
30," M",3,3,1,1,1,0,0,0,1
31," F",4,2,1,1,1,1,1,1,0
32," M",1,3,1,1,1,1,1,0,1
33," F",1,3,1,1,1,0,0,0,0
34," M",4,2,1,1,1,0,0,0,1
35," F",4,3,1,1,1,1,1,0,1
36," M",4,3,1,1,1,0,0,0,1
37," F",1,3,1,1,1,1,1,0,1
38," F",2,3,1,1,1,1,1,0,0
39," F",4,3,1,1,1,0,0,0,1
40," M",2,2,1,1,1,1,1,1,0
41," F",2,3,1,1,1,1,0,0,0
42," M",3,3,1,0,0,1,1,0,1
43," M",1,3,1,0,0,0,0,0,0
44," F",1,3,0,0,0,0,0,0,0
45," F",3,2,1,1,1,0,0,0,0
46,NA,NA,NA,NA,NA,NA,0,0,0,0
47," M",1,2,0,0,0,0,0,0,0
48," M",3,3,1,1,1,1,1,0,1
49," M",3,2,1,1,1,1,0,0,0
50," M",4,3,0,0,0,0,0,0,1
51," M",5,3,0,0,0,0,0,0,0
52," F",2,3,1,1,1,1,1,0,1
53," F",1,3,NA,NA,NA,0,0,0,1
54," F",3,2,1,1,1,0,0,0,0
55," F",5,3,1,1,1,1,0,0,0
56," F",1,3,0,0,0,1,1,0,1
57," F",3,3,0,0,0,1,0,0,0
58," F",1,3,1,1,1,0,0,0,1
59," F",3,3,0,NA,0,0,0,0,0
60," F",5,3,1,1,1,1,1,0,0
61," F",4,2,1,1,1,1,0,0,1
62," F",4,3,1,1,1,1,1,0,0
63," M",1,2,1,1,1,0,0,1,0
64," F",1,3,1,1,1,1,1,0,0
65," F",1,3,1,1,1,1,1,0,1
66," F",1,1,1,1,1,0,0,0,1
67," M",1,3,1,1,1,1,1,0,1
68," F",4,3,1,1,1,0,0,0,0
69," F",1,3,1,1,1,1,0,0,1
70," M",5,3,NA,NA,NA,0,0,0,0
71," M",1,3,1,1,1,0,0,0,0
72," F",5,2,1,1,1,0,0,0,0
73," M",5,2,0,NA,0,0,0,0,0
74," F",1,3,1,1,1,0,0,0,0
75," F",2,3,1,1,1,1,0,0,0
76," M",1,3,0,0,0,0,0,0,1
77," M",6,3,1,1,1,1,1,0,0
78," F",2,3,1,1,1,0,0,0,1
79," M",1,3,1,1,1,0,0,0,0
80," M",1,3,1,1,1,0,0,0,1
81," M",5,NA,1,1,1,0,0,0,1
82," M",4,2,0,0,0,0,0,0,1
83," F",4,3,1,1,1,0,0,0,0
84," F",4,3,1,1,1,0,0,0,0
85," F",5,3,0,NA,0,0,0,0,1
86," F",3,3,1,0,1,1,1,0,0
87," F",5,2,0,0,0,1,1,0,0
88," M",1,3,0,NA,0,0,0,0,1
89," M",3,3,1,1,1,1,1,0,0
90," M",3,3,1,1,1,0,0,0,0
91," F",3,3,0,0,0,0,0,0,1
92," F",1,3,1,0,1,0,0,0,0
93," F",1,3,1,1,1,0,0,0,1
94,NA,NA,NA,NA,NA,NA,0,0,0,0
95,NA,NA,NA,NA,NA,NA,0,0,0,0
96," M",4,3,1,1,1,0,0,0,0
97," M",4,2,1,0,1,1,1,0,1
98," M",3,3,1,1,1,0,0,0,0
99," F",3,2,1,1,1,1,1,0,0
100," M",2,3,1,1,1,0,0,0,1
101," F",1,3,1,1,1,1,1,0,0
102," M",2,2,1,0,1,0,0,0,0
103," F",5,3,0,0,0,1,1,0,0
104," M",6,3,1,1,1,0,0,1,0
105," M",2,3,1,1,1,0,0,0,0
106," F",3,NA,0,0,0,0,0,0,0
107," F",2,3,1,1,1,1,0,0,1
108," M",1,3,1,0,0,1,1,0,1
109," M",3,3,0,0,0,0,0,0,0
110," F",5,2,0,0,0,1,1,1,0
111," F",4,3,1,1,1,0,0,0,1
112," F",1,3,1,1,1,0,0,0,1
113," M",2,3,1,0,1,0,0,0,0
114," F",4,3,1,1,1,0,0,0,0
115," F",5,3,1,0,1,0,0,0,0
116," M",5,3,1,1,1,0,0,0,1
117," M",3,3,1,1,1,1,1,0,0
118,NA,1,3,1,1,1,0,0,0,0
119," F",1,3,1,1,1,1,1,0,1
120," F",2,3,1,1,1,1,0,0,0
121," F",2,3,1,1,1,1,1,0,0
122," M",2,3,1,0,1,1,1,0,0
123," F",3,3,1,0,1,0,0,0,1
124," M",5,3,1,1,1,0,0,0,1
125," F",1,3,1,1,1,0,0,0,0
126," F",3,3,NA,NA,NA,0,0,0,0
127," F",1,3,1,0,0,0,0,0,1
128," M",3,3,0,NA,0,0,0,0,0
129," F",3,3,1,1,1,1,1,0,0
130," F",2,3,1,0,1,1,0,0,0
131," M",3,3,0,NA,0,0,0,0,0
132," F",5,2,0,NA,0,0,0,0,0
133," M",2,3,1,1,1,1,1,0,1
134," M",5,2,1,1,1,0,0,0,0
135," F",2,3,1,1,1,0,0,0,0
136," M",2,3,0,0,0,1,1,0,0
137," M",5,3,1,1,1,0,0,0,0
138," M",5,3,1,0,1,1,1,0,0
139," F",3,3,1,1,1,1,0,0,1
140,NA,NA,NA,NA,NA,NA,0,0,0,0
141," M",2,3,1,1,1,0,0,0,0
142," F",1,3,1,1,1,1,1,0,1
143," F",4,3,1,1,1,1,1,0,1
144," F",6,3,1,0,1,0,0,0,0
145," M",1,3,1,1,1,0,0,0,1
146," F",4,2,0,0,0,0,0,0,1
147," F",5,3,0,0,0,0,0,0,0
148," M",3,2,0,0,0,0,0,0,0
149," F",6,3,1,1,1,0,0,0,0
150," M",4,3,1,1,1,1,0,0,0
151," F",3,NA,0,0,0,0,0,0,1
152," M",1,3,1,1,1,0,0,0,1
153," F",1,3,1,1,1,1,1,0,1
154,NA,1,3,1,1,1,0,0,0,0
155," M",4,3,1,1,1,1,1,0,0
