"id","Gender","Age","studies","WDP.Theil","WDP.Gini","WDP.Atkinson"
0,"h","30-39","superieur",1,0,0
4,"h","60-69","superieur",1,1,1
6,"h","40-49","superieur",0,0,0
7,"h","30-39","superieur",1,0,1
9,"h","50-59","superieur",1,1,1
10,"f","40-49","superieur",0,0,0
14,"h","30-39","superieur",0,0,0
15,"h","30-39","superieur",0,0,0
17,"h","18-29","superieur",1,1,1
22,"h","18-29","superieur",1,1,1
23,"h","30-39","superieur",1,1,1
24,"f","40-49","superieur",1,1,1
25,"h","18-29","superieur",0,0,0
26,"h","30-39","superieur",0,0,0
28,"f","40-49","superieur",1,1,1
29,"h","50-59","superieur",0,0,0
31,"h","30-39","superieur",1,1,1
34,"f","40-49","superieur",1,1,1
35,"h","40-49","secondaire",0,0,0
36,"h","18-29","superieur",1,1,1
38,"h","30-39","superieur",1,1,1
39,"h","40-49","superieur",1,1,1
40,"h","50-59","superieur",1,1,1
41,"f","40-49","superieur",0,0,0
43,"h","30-39","superieur",1,1,1
44,"h","30-39","superieur",1,1,1
45,"h","30-39","superieur",1,1,1
46,"h","60-69","superieur",1,0,1
47,"f","30-39","superieur",0,NA,0
49,"nspp","nspp","nspp",1,1,1
50,"h","40-49","superieur",0,0,0
51,"h","50-59","nspp",1,0,1
52,"h","50-59","superieur",0,0,0
53,"h","40-49","superieur",0,0,0
55,"h","18-29","superieur",1,1,1
57,"h","18-29","superieur",1,1,1
59,"f","40-49","superieur",0,0,0
60,"h","30-39","superieur",1,0,1
61,"h","40-49","superieur",0,NA,0
62,"f","18-29","superieur",1,1,1
63,"f","18-29","superieur",1,1,1
64,"f","30-39","superieur",1,0,0
65,"h","18-29","superieur",1,1,1
67,"h","30-39","superieur",1,1,1
68,"f","50-59","superieur",1,0,1
69,"h","18-29","superieur",1,1,1
70,"h","40-49","superieur",1,0,0
71,"h","30-39","superieur",0,0,0
72,"h","30-39","superieur",1,0,1
73,"h","30-39","superieur",1,0,1
75,"h","60-69","superieur",1,1,1
76,"h","18-29","superieur",1,1,1
77,"h","30-39","superieur",1,1,1
78,"h","30-39","superieur",1,0,1
79,"f","50-59","secondaire",1,1,1
80,"h","40-49","superieur",0,0,0
86,"f","40-49","superieur",0,0,0
87,"h","18-29","superieur",1,1,1
88,"","","",1,1,1
91,"h","40-49","superieur",1,1,1
92,"h","30-39","superieur",0,0,0
94,"h","50-59","superieur",1,1,1
95,"f","30-39","superieur",1,0,1
96,"h","30-39","superieur",1,0,1
97,"f","30-39","superieur",1,0,1
98,"h","18-29","superieur",1,0,1
