"id","GENDER","AGE","EDUC","WDP.Theil","WDP.Gini","WDP.Atkinson"
1," F","60"," S",0,NA,0
2," F","30"," S",1,1,1
3," F","50","2",1,1,1
4," F","60"," S",NA,NA,NA
5," F","40"," S",0,0,0
6," F","30"," S",1,1,1
7," M","70"," S",1,1,1
8," F","50","2",1,1,1
9," F","40"," S",0,0,0
10," M","18"," S",1,1,1
11,NA,"60",NA,0,0,0
12," F","40"," S",1,1,1
13," F","40"," S",1,1,1
14," M","70",NA,1,0,1
15," F","18"," S",0,0,0
16," F","18","2",0,NA,0
17," F","70","2",1,1,1
18," F","60"," S",1,1,1
19," M","30"," S",1,1,1
20," F","50"," S",1,1,1
21," F","60"," S",0,NA,0
22," F","60"," S",1,1,1
23," F","60"," S",1,1,1
24," F","60"," S",1,1,1
25," F","40"," S",1,1,1
26," F","40"," S",1,1,1
27," M","18"," S",1,0,0
28," F","30"," S",1,1,1
29," F","40"," S",0,0,0
30," M","40"," S",1,1,1
31," F","50","2",1,1,1
32," M","18"," S",1,1,1
33," F","18"," S",1,1,1
34," M","50","2",1,1,1
35," F","50"," S",1,1,1
36," M","50"," S",1,1,1
37," F","18"," S",1,1,1
38," F","30"," S",1,1,1
39," F","50"," S",1,1,1
40," M","30","2",1,1,1
41," F","30"," S",1,1,1
42," M","40"," S",1,0,0
43," M","18"," S",1,0,0
44," F","18"," S",0,0,0
45," F","40","2",1,1,1
46,NA,NA,NA,NA,NA,NA
47," M","18","2",0,0,0
48," M","40"," S",1,1,1
49," M","40","2",1,1,1
50," M","50"," S",0,0,0
51," M","60"," S",0,0,0
52," F","30"," S",1,1,1
53," F","18"," S",NA,NA,NA
54," F","40","2",1,1,1
55," F","60"," S",1,1,1
56," F","18"," S",0,0,0
57," F","40"," S",0,0,0
58," F","18"," S",1,1,1
59," F","40"," S",0,NA,0
60," F","60"," S",1,1,1
61," F","50","2",1,1,1
62," F","50"," S",1,1,1
63," M","18","2",1,1,1
64," F","18"," S",1,1,1
65," F","18"," S",1,1,1
66," F","18","1",1,1,1
67," M","18"," S",1,1,1
68," F","50"," S",1,1,1
69," F","18"," S",1,1,1
70," M","60"," S",NA,NA,NA
71," M","18"," S",1,1,1
72," F","60","2",1,1,1
73," M","60","2",0,NA,0
74," F","18"," S",1,1,1
75," F","30"," S",1,1,1
76," M","18"," S",0,0,0
77," M","70"," S",1,1,1
78," F","30"," S",1,1,1
79," M","18"," S",1,1,1
80," M","18"," S",1,1,1
81," M","60",NA,1,1,1
82," M","50","2",0,0,0
83," F","50"," S",1,1,1
84," F","50"," S",1,1,1
85," F","60"," S",0,NA,0
86," F","40"," S",1,0,1
87," F","60","2",0,0,0
88," M","18"," S",0,NA,0
89," M","40"," S",1,1,1
90," M","40"," S",1,1,1
91," F","40"," S",0,0,0
92," F","18"," S",1,0,1
93," F","18"," S",1,1,1
94,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA
96," M","50"," S",1,1,1
97," M","50","2",1,0,1
98," M","40"," S",1,1,1
99," F","40","2",1,1,1
100," M","30"," S",1,1,1
101," F","18"," S",1,1,1
102," M","30","2",1,0,1
103," F","60"," S",0,0,0
104," M","70"," S",1,1,1
105," M","30"," S",1,1,1
106," F","40",NA,0,0,0
107," F","30"," S",1,1,1
108," M","18"," S",1,0,0
109," M","40"," S",0,0,0
110," F","60","2",0,0,0
111," F","50"," S",1,1,1
112," F","18"," S",1,1,1
113," M","30"," S",1,0,1
114," F","50"," S",1,1,1
115," F","60"," S",1,0,1
116," M","60"," S",1,1,1
117," M","40"," S",1,1,1
118,NA,"18"," S",1,1,1
119," F","18"," S",1,1,1
120," F","30"," S",1,1,1
121," F","30"," S",1,1,1
122," M","30"," S",1,0,1
123," F","40"," S",1,0,1
124," M","60"," S",1,1,1
125," F","18"," S",1,1,1
126," F","40"," S",NA,NA,NA
127," F","18"," S",1,0,0
128," M","40"," S",0,NA,0
129," F","40"," S",1,1,1
130," F","30"," S",1,0,1
131," M","40"," S",0,NA,0
132," F","60","2",0,NA,0
133," M","30"," S",1,1,1
134," M","60","2",1,1,1
135," F","30"," S",1,1,1
136," M","30"," S",0,0,0
137," M","60"," S",1,1,1
138," M","60"," S",1,0,1
139," F","40"," S",1,1,1
140,NA,NA,NA,NA,NA,NA
141," M","30"," S",1,1,1
142," F","18"," S",1,1,1
143," F","50"," S",1,1,1
144," F","70"," S",1,0,1
145," M","18"," S",1,1,1
146," F","50","2",0,0,0
147," F","60"," S",0,0,0
148," M","40","2",0,0,0
149," F","70"," S",1,1,1
150," M","50"," S",1,1,1
151," F","40",NA,0,0,0
152," M","18"," S",1,1,1
153," F","18"," S",1,1,1
154,NA,"18"," S",1,1,1
155," M","50"," S",1,1,1
156," M","40"," S",0,0,0
157," F","50"," S",NA,NA,NA
158," F","50"," S",0,0,0
159," F","18"," S",1,1,1
160," F","18"," S",1,1,1
161," F","50"," S",0,NA,0
162," F","40"," S",1,1,1
163," M","60"," S",1,1,1
164," F","18"," S",0,0,0
165," M","60","2",1,1,1
166," F","30"," S",1,1,1
167," M","60"," S",1,0,1
168," M","50"," S",1,1,1
169," M","30"," S",NA,NA,NA
170," M","50"," S",1,1,1
171," F","40","2",NA,NA,NA
172," F","60"," S",1,1,1
173," F","50"," S",1,1,1
174," M","30"," S",1,1,1
175," F","40"," S",0,NA,0
176," M","60"," S",0,0,0
177," F","70"," S",0,NA,0
178," F","50"," S",0,0,0
179," M","30"," S",1,1,1
180," F","60"," S",0,NA,0
181," F","18"," S",1,1,1
182," M","50","2",1,1,1
183," F","18"," S",1,1,1
184," F","40","2",0,0,0
185," M","18"," S",1,1,1
186," M","40","1",1,1,1
187," F","50"," S",1,1,1
188," F","50"," S",1,1,1
189," F","30","2",1,1,1
190," M","70"," S",1,1,1
191," M","40"," S",0,0,0
192," M","18"," S",0,0,0
193," M","18"," S",0,0,0
194," M","40"," S",1,1,1
195," M","60"," S",0,0,0
196," M","50"," S",1,1,1
197," M","30"," S",1,1,1
198," M","18"," S",1,1,1
199," F","50"," S",1,1,1
200," M","18","2",0,0,0
201," M","18"," S",1,0,1
202," F","18"," S",0,0,0
203," F","60"," S",1,1,1
204," M","30"," S",NA,NA,NA
205," M","18"," S",1,1,1
206," F","18"," S",0,0,0
207," M","30"," S",1,1,1
208," M","18"," S",0,0,0
209," M","70"," S",1,1,1
210," F","18"," S",0,0,0
211," M","40"," S",0,0,0
212," F","40"," S",1,1,1
213," F","70",NA,NA,NA,NA
214," F","18"," S",1,1,1
215," M","18"," S",1,1,1
216," M","40"," S",0,0,0
217," F","40","2",0,0,0
218," M","18"," S",1,1,1
219," M","30","2",1,1,1
220,NA,NA,NA,1,1,1
221," F","50"," S",1,0,0
222," M","40"," S",1,1,1
223," M","60"," S",0,0,0
224," M","40"," S",1,1,1
225," M","40"," S",0,NA,0
226," F","30"," S",1,1,1
227," F","50"," S",1,0,1
228,NA,NA,NA,1,1,1
229," M","30",NA,0,0,0
230," M","50"," S",1,1,1
231," F","18"," S",1,1,1
232," M","50","2",1,1,1
233," F","18"," S",1,1,1
234,NA,"18",NA,1,1,1
235," M","40"," S",0,0,0
236," F","18","2",1,1,1
237," F","50"," S",1,1,1
238," M","50"," S",1,1,1
239," F","70","2",0,NA,0
240," M","18"," S",1,0,1
241," F","60","2",0,NA,0
242," M","30","2",1,1,1
243," F","70"," S",1,1,1
244," F","30"," S",1,0,1
245," M","50"," S",0,0,0
246," F","18"," S",1,1,1
247," F","50"," S",1,1,1
248," F","18"," S",0,0,0
249," F","40"," S",1,0,1
250," F","50"," S",1,1,0
251," F","18"," S",1,1,1
252," F","40"," S",1,0,1
253," M","50"," S",1,1,1
254," M","40"," S",0,0,0
