"id","ext.right","ext.left"
0,0,1
4,0,0
6,0,0
7,0,0
9,0,0
10,0,0
14,0,0
15,0,1
17,0,1
22,0,1
23,0,1
24,1,0
25,0,0
26,0,0
28,0,1
29,0,0
31,0,1
34,0,1
35,0,0
36,0,1
38,0,0
39,0,1
40,0,0
41,0,1
43,0,1
44,0,0
45,0,1
46,0,0
47,0,1
49,0,0
50,0,1
51,0,0
52,0,0
53,0,0
55,0,1
57,0,1
59,0,0
60,0,0
61,0,0
62,0,1
63,0,0
64,0,1
65,0,1
67,0,1
68,0,0
69,0,0
70,0,1
71,0,1
72,0,1
73,0,1
75,0,1
76,0,0
77,0,1
78,0,1
79,0,0
80,0,0
86,0,0
87,0,1
88,0,1
91,0,1
92,0,1
94,0,0
95,1,0
96,0,0
97,0,1
98,0,1
99,0,1
102,0,1
104,0,1
105,0,1
107,0,1
109,0,1
111,0,0
112,0,0
113,0,1
114,0,0
115,0,1
116,0,0
118,0,1
119,0,1
122,0,0
123,0,0
124,1,0
125,0,1
126,0,1
128,0,1
129,1,0
130,1,0
131,0,1
134,0,0
135,0,1
138,0,0
139,0,1
140,0,1
143,0,0
144,0,1
145,0,1
147,0,1
148,0,0
149,0,0
150,0,0
151,0,0
152,0,1
154,0,1
157,0,1
158,0,1
159,0,1
160,0,0
161,0,1
162,0,1
163,0,0
165,0,1
166,0,1
167,0,0
170,0,1
171,0,1
174,0,1
175,0,0
176,0,1
179,0,0
180,0,0
181,0,1
184,0,1
185,0,1
188,0,0
190,0,0
191,0,1
192,0,1
193,0,0
195,0,0
198,0,1
201,0,1
202,0,1
203,0,1
204,0,1
206,0,0
207,0,1
208,0,1
211,0,1
212,0,1
213,0,1
220,0,1
222,0,0
225,0,1
226,0,1
228,0,0
229,0,1
231,0,1
235,0,1
236,0,1
238,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,1
246,0,0
247,0,1
250,0,0
251,0,1
253,0,1
254,0,1
258,0,1
259,0,1
260,0,1
261,0,1
262,0,1
263,0,0
264,0,1
265,0,1
266,0,0
267,0,0
268,0,1
271,0,1
273,0,1
274,0,1
276,0,0
277,0,1
278,0,1
279,0,1
282,0,1
283,0,0
285,0,1
286,0,1
288,0,1
290,0,0
294,0,0
296,0,1
297,0,0
301,0,0
303,0,1
305,0,1
308,0,1
309,0,1
310,1,0
311,0,1
318,0,0
319,0,1
320,0,0
321,0,1
322,0,1
327,0,1
328,0,1
330,0,1
331,0,1
332,0,1
333,0,1
336,0,1
337,0,1
338,0,1
339,0,1
340,0,0
341,0,1
342,0,1
343,0,0
345,0,1
347,0,1
349,0,0
350,0,1
351,0,0
352,0,1
353,0,0
354,0,1
355,0,0
357,0,1
358,0,0
361,0,0
364,0,1
365,0,1
366,0,1
367,0,0
368,0,1
369,0,0
372,0,1
373,0,1
375,0,1
376,0,1
377,0,0
378,0,1
379,0,0
381,0,1
386,0,1
387,0,1
388,0,0
390,0,0
391,0,1
392,0,1
393,0,1
394,0,0
395,0,0
396,0,1
397,0,1
401,1,0
404,0,0
405,0,1
406,0,0
410,0,1
411,0,1
412,0,0
413,0,1
414,0,1
416,0,1
421,0,0
422,0,1
426,0,1
427,0,0
431,0,0
432,0,0
433,0,1
